STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN
USC00414333,12/1/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,156,67
USC00414333,12/2/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,228,128
USC00414333,12/3/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",8,0,244,150
USC00414333,12/4/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,161,22
USC00414333,12/5/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,133,-22
USC00414333,12/6/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,144,-11
USC00414333,12/7/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",102,0,178,-11
USC00414333,12/8/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,144,-17
USC00414333,12/9/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,156,-17
USC00414333,12/10/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,178,-17
USC00414333,12/11/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,206,22
USC00414333,12/12/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,222,144
USC00414333,12/13/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,256,122
USC00414333,12/14/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,256,144
USC00414333,12/15/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,256,172
USC00414333,12/16/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,172
USC00414333,12/17/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",13,0,244,206
USC00414333,12/18/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",36,0,244,117
USC00414333,12/19/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,200,44
USC00414333,12/20/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,178
USC00414333,12/21/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,178
USC00414333,12/22/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5,0,256,-6
USC00414333,12/23/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,-6,-44
USC00414333,12/24/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",8,0,-6,-67
USC00414333,12/25/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,56,-67
USC00414333,12/26/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,67,11
USC00414333,12/27/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",503,0,167,61
USC00414333,12/28/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,89,67
USC00414333,12/29/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,211,78
USC00414333,12/30/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,244,194
USC00414333,12/31/1990,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,239,-28
USC00414333,1/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,56,-28
USC00414333,1/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,94,28
USC00414333,1/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",330,0,150,83
USC00414333,1/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,111,78
USC00414333,1/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,106,72
USC00414333,1/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,189,106
USC00414333,1/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",363,0,217,72
USC00414333,1/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",18,0,111,67
USC00414333,1/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",41,0,106,72
USC00414333,1/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",320,0,150,72
USC00414333,1/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",224,0,167,72
USC00414333,1/12/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,144,17
USC00414333,1/13/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,144,-11
USC00414333,1/14/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,161,-11
USC00414333,1/15/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",734,0,183,94
USC00414333,1/16/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,161,28
USC00414333,1/17/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,172,33
USC00414333,1/18/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",74,0,167,39
USC00414333,1/19/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",457,0,122,83
USC00414333,1/20/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,139,39
USC00414333,1/21/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,194,39
USC00414333,1/22/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,78,6
USC00414333,1/23/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,83,-6
USC00414333,1/24/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",114,0,111,83
USC00414333,1/25/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,122,50
USC00414333,1/26/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,150,33
USC00414333,1/27/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,156,67
USC00414333,1/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,172,111
USC00414333,1/29/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,144,128
USC00414333,1/30/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",81,0,211,72
USC00414333,1/31/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,122,22
USC00414333,2/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,150,0
